n_estimators,learning_rate,max_depth,min_child_weight,gamma,subsample,colsample_bytree,lambda,alpha,accuracy,f1_score,recall,roc_auc,cv_score,train_score,overfitting
500,0.1,8,5,0.1,0.9,0.7,1,0,0.8414551223934723,0.8408307952378273,0.8414551223934723,0.9272592925674032,0.9268947850383485,0.9671341549794589,OK
500,0.1,5,5,0.1,0.9,0.9,1,0,0.8420217588395286,0.8407463456680102,0.8420217588395286,0.9288891363869036,0.9276833335531041,0.9022524436889078,OK
500,0.1,8,5,0.3,0.9,0.7,3,0,0.8414551223934723,0.8407430591685839,0.8414551223934723,0.928554233407282,0.926957053607752,0.9582093780988808,OK
500,0.1,5,3,0.3,0.9,0.7,1,0,0.8420217588395286,0.840699604101837,0.8420217588395286,0.9289632123114302,0.9281148198032708,0.9030740898144213,OK
500,0.1,8,3,0.1,0.9,0.7,1,1,0.8414551223934723,0.8406544659879628,0.8414551223934723,0.9268425938069521,0.926325010088003,0.9758039382348774,OK
500,0.1,5,5,0.0,0.9,0.9,1,1,0.8420217588395286,0.8406369393689272,0.8420217588395286,0.9283993447547885,0.9274217852603579,0.9007224819379516,OK
500,0.1,8,5,0.3,0.7,0.9,1,1,0.8414551223934723,0.8405500188129041,0.8414551223934723,0.9252682346475478,0.9226091878618462,0.9693157671058223,OK
500,0.1,5,3,0.1,0.9,0.7,1,0,0.841795104261106,0.8405489447164046,0.841795104261106,0.9284402860151825,0.9280148571165883,0.9038957359399349,OK
500,0.1,5,5,0.0,0.9,0.9,3,1,0.8420217588395286,0.840542205548639,0.8420217588395286,0.927776465113073,0.927641107626002,0.8966709165604193,OK
500,0.1,8,5,0.1,0.9,0.7,1,1,0.8413417951042611,0.8405182677929776,0.8413417951042611,0.9262839017344985,0.9263792469785924,0.9678708032299193,OK
500,0.1,5,5,0.1,0.9,0.7,1,0,0.8420217588395286,0.8405104305348186,0.8420217588395286,0.9287715748298682,0.9278781997049759,0.8990508570619068,OK
500,0.1,5,5,0.0,0.9,0.7,1,1,0.8419084315503174,0.8404990012800303,0.8419084315503174,0.9286289165115178,0.9277725022329129,0.8967559144354724,OK
500,0.1,8,3,0.3,0.7,0.9,1,0,0.8413417951042611,0.8404585411307518,0.8413417951042611,0.9253379735741514,0.9228749652526634,0.9813571327383482,OK
500,0.1,5,5,0.1,0.7,0.9,1,0,0.841795104261106,0.8404240234436163,0.841795104261106,0.9266906832263657,0.9256459810332505,0.9022241110638901,OK
500,0.1,8,5,0.3,0.9,0.9,3,0,0.8411151405258386,0.8404236117885646,0.8411151405258386,0.9273483455914243,0.9263074695428392,0.9630259243518912,OK
500,0.1,8,3,0.1,0.9,0.9,3,0,0.8412284678150499,0.8403819837935117,0.8412284678150499,0.9273291471472846,0.9260488758915159,0.9739623176087264,OK
500,0.1,5,5,0.1,0.9,0.7,3,1,0.841795104261106,0.8403134282251793,0.841795104261106,0.9279942113221321,0.9271198552706201,0.893214336308259,OK
500,0.1,8,5,0.3,0.9,0.7,1,0,0.8411151405258386,0.8402755197876981,0.8411151405258386,0.9270870270098979,0.9272484359145968,0.9658025216036266,OK
500,0.1,8,5,0.0,0.9,0.9,3,0,0.8410018132366274,0.8402729661399256,0.8410018132366274,0.9271556094037218,0.9259332468631918,0.9669924918543703,OK
500,0.1,8,3,0.0,0.9,0.9,1,1,0.8410018132366274,0.8402285788471389,0.8410018132366274,0.9268555469740823,0.9256685265735856,0.980110497237569,OK
500,0.1,5,3,0.0,0.9,0.7,1,1,0.8415684496826836,0.8402268268197173,0.8415684496826836,0.9284619999181174,0.9281343142435542,0.9008924776880578,OK
500,0.1,8,5,0.0,0.9,0.7,3,0,0.8411151405258386,0.8401855131286001,0.8411151405258386,0.9272250591971304,0.9268377736234605,0.9622609434764131,OK
500,0.1,8,5,0.1,0.9,0.9,3,1,0.8411151405258386,0.840140184397319,0.8411151405258386,0.926089690967502,0.9261369355549481,0.9663125088539454,OK
500,0.1,5,5,0.0,0.9,0.9,3,0,0.8415684496826836,0.840116418169342,0.8415684496826836,0.9278150643945886,0.9270403735012491,0.898257543561411,OK
500,0.1,5,3,0.0,0.9,0.9,3,1,0.8415684496826836,0.8400846509017197,0.8415684496826836,0.928409175283414,0.9278009101155344,0.9006374840628985,OK
500,0.1,5,3,0.3,0.9,0.9,1,1,0.8415684496826836,0.8400368144717006,0.8415684496826836,0.9282334979542093,0.9280299236309626,0.9047740473154838,OK
500,0.1,8,3,0.0,0.9,0.7,3,1,0.8408884859474162,0.8400327051763604,0.8408884859474162,0.9267957542293825,0.9264486152167443,0.9692307692307692,OK
500,0.1,8,5,0.1,0.9,0.7,3,1,0.8407751586582048,0.8399710684153593,0.8407751586582048,0.9271530939449264,0.9265143160102166,0.9614109647258818,OK
500,0.1,5,5,0.0,0.9,0.7,3,1,0.8414551223934723,0.8399622992805744,0.8414551223934723,0.9278938242768722,0.9268683707479101,0.893979317183737,OK
500,0.1,8,5,0.3,0.7,0.9,3,0,0.8412284678150499,0.839954458028662,0.8412284678150499,0.9247488357762776,0.9231715584396015,0.9663691741039807,OK
500,0.1,5,3,0.1,0.7,0.9,1,0,0.8412284678150499,0.8398287942929602,0.8412284678150499,0.9282627004068914,0.9263319890738606,0.90630400906644,OK
500,0.1,8,3,0.3,0.9,0.7,1,1,0.8406618313689936,0.8397446559618553,0.8406618313689936,0.9276260869384194,0.9277725777752327,0.9650658733531662,OK
500,0.1,5,3,0.3,0.9,0.9,3,1,0.8413417951042611,0.8397437479254176,0.8413417951042611,0.9278715610208669,0.9278069876378245,0.8999291684374557,OK
500,0.1,5,5,0.3,0.9,0.7,3,0,0.8411151405258386,0.8397381668108524,0.8411151405258386,0.9283413446358969,0.9276001219904607,0.8965292534353307,OK
